127.0.0.1 - - [01/Oct/2021:09:05:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:05:35 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:05:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:10 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:13 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:14 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:14 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:21 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:21 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:27 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:07:27 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:08:00 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:08:00 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:08:00 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:10:22 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:11:39 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:12:00 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:12:13 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:22 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:22 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:35 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:56 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:56 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:13:56 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:15:15 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:15:16 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:16:17 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:16:26 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:16:26 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:18:51 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:18:51 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:19:51 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2478
