127.0.0.1 - - [06/Oct/2021:09:33:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:33:14 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:33:14 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:13 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:13 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:15 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:15 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:55 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:55 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:55 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:36:55 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/visual_img.png HTTP/1.1" 200 222763
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/topicon1.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/topicon2.png HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/busimg1.jpg HTTP/1.1" 200 129647
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/busimg2.jpg HTTP/1.1" 200 194724
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/logo.png HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/busimg3.jpg HTTP/1.1" 200 161334
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/footer_logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:04 +0900] "GET /studyhtml5/4.widmice/images/btn_top.png HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:05 +0900] "GET /studyhtml5/4.widmice/images/visual_bg.jpg HTTP/1.1" 200 844942
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:05 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:05 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:37:05 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:15 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:15 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:15 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:34 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:34 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:40:34 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:41:04 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:41:04 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:41:04 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:51 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
